기간,조(원),증가율
2015-01,112.8578,2.4
2015-02,113.6573,0.7
2015-03,115.2547,1.4
2015-04,116.2498,0.9
2015-05,117.1625,0.8
2015-06,119.4475,2
2015-07,124.165,3.9
2015-08,121.4535,-2.2
2015-09,125.5279,3.4
2015-10,125.3295,-0.2
2015-11,128.4955,2.5
2015-12,128.696,0.2
2016-01,130.5256,1.4
2016-02,130.5192,0
2016-03,133.2487,2.1
2016-04,135.1588,1.4
2016-05,136.4951,1
2016-06,137.1595,0.5
2016-07,137.5419,0.3
2016-08,139.4914,1.4
2016-09,141.0651,1.1
2016-10,141.209,0.1
2016-11,143.329,1.5
2016-12,143.555,0.2
2017-01,143.8647,0.2
2017-02,150.1222,4.3
2017-03,144.7917,-3.6
2017-04,149.8317,3.5
2017-05,149.9847,0.1
2017-06,150.773,0.5
2017-07,151.9896,0.8
2017-08,152.6455,0.4
2017-09,155.9688,2.2
2017-10,156.3097,0.2
2017-11,157.1879,0.6
2017-12,158.8278,1
2018-01,157.4749,-0.9
2018-02,159.8753,1.5
2018-03,160.9547,0.7
2018-04,161.8535,0.6
2018-05,161.2035,-0.4
2018-06,164.288,1.9
2018-07,165.4018,0.7
2018-08,166.26,0.5
2018-09,168.789,1.5
2018-10,169.9355,0.7
2018-11,169.9684,0
2018-12,173.5538,2.1
2019-01,171.4346,-1.2
2019-02,173.7804,1.4
2019-03,175.0755,0.7
2019-04,176.1288,0.6
2019-05,176.9719,0.5
2019-06,178.8616,1.1
2019-07,177.7023,-0.6
2019-08,181.7782,2.3
2019-09,181.5907,-0.1
2019-10,182.2231,0.3
2019-11,184.6442,1.3
2019-12,187.1936,1.4
2020-01,188.0941,0.5
2020-02,192.7541,2.5
2020-03,195.365,1.4
2020-04,196.9294,0.8
2020-05,203.2097,3.2
2020-06,205.4344,1.1
2020-07,208.8605,1.7
2020-08,210.4099,0.7
2020-09,213.7042,1.6
2020-10,213.8952,0.1
2020-11,219.8637,2.8
2020-12,220.8967,0.5
2021-01,224.6739,1.7
2021-02,226.547,0.8
2021-03,231.902,2.4
2021-04,231.4446,-0.2
2021-05,234.7182,1.4
2021-06,238.9916,1.8
2021-07,241.2356,0.9
2021-08,242.3814,0.5
2021-09,243.3993,0.4
2021-10,250.3264,2.8
2021-11,252.7261,1
2021-12,254.4786,0.7
2022-01,257.1214,1
2022-02,256.3701,-0.3
2022-03,258.6164,0.9
2022-04,263.7695,2
2022-05,263.5904,-0.1
2022-06,262.605,-0.4
2022-07,273.9035,4.3
2022-08,266.0698,-2.9
2022-09,265.6328,-0.2
2022-10,269.7747,1.6
2022-11,263.8986,-2.2
2022-12,263.9078,0
2023-01,255.7728,-3.1
2023-02,262.6336,2.7
2023-03,256.8121,-2.2
2023-04,257.9379,0.4
2023-05,262.1422,1.6
2023-06,258.936,-1.2
2023-07,265.7464,2.6
2023-08,263.0115,-1
2023-09,262.8507,-0.1
